VMP550T,VMP550L,VMP2750T,VMP2750L,VMP5500T,VMP5500L,SVI550_055T,SVI550_055L,SVI2750_055T,SVI2750_055L,SVI5500_055T,SVI5500_055L,SVI550_075T,SVI550_075L,SVI2750_075T,SVI2750_075L,SVI5500_075T,SVI5500_075L,SVI550_099T,SVI550_099L,SVI2750_099T,SVI2750_099L,SVI5500_099T,SVI5500_099L
1328.765601,-99276.7655,1603.818943,-64011.92148,1722.947342,101132.0421,751.4047523,-4134103.621,1367.933611,-1330001.881,,,749.2024898,-4313580.8,1381.836094,-1271049.283,,,744.6215369,-2122536.516,1375.065894,-1631793.958,,
1359.237047,-93140.20105,1634.121049,-57018.93384,1753.47705,106620.3977,770.7830147,-4570839.038,1405.599746,-1170644.415,,,769.330155,-1287732.422,1418.382045,-1259798.574,,,765.0258621,-2150956.598,1410.741991,-1912872.343,,
1388.7342,-88685.36613,1670.608696,-49182.68196,1788.301389,109745.3633,792.0441357,-4580469.549,1438.399859,-1182105.349,,,790.5986266,-3869014.079,1457.127997,-1245641.871,,,785.2944354,-2660204.278,1448.830138,-1616369.601,,
1417.899003,-84079.1568,1701.073619,-42056.31665,1814.542723,111632.0241,813.1154849,-5221836.325,1475.833783,-1111037.536,,,810.1121007,-4104057.219,1493.966555,-1238210.118,,,805.2718759,-2161298.054,1484.763637,-1912688.378,,
1443.759354,-77820.93432,1732.161138,-35818.09953,1846.695694,113440.5181,835.0169865,-1719721.117,1516.074347,-1141321.537,,,830.3067512,-3519558.378,1528.516343,-1231918.547,,,825.7488887,-2145116.539,1524.613087,-1615281.151,,
1469.694008,-71462.98595,1761.555181,-30515.92275,1897.156989,114500.9737,854.0795038,-5629759.194,1556.472322,-1124189.983,,,846.7470337,-1288552.216,1566.801876,-1224655.849,,,845.7214659,-2632355.523,1562.388653,-1922288.829,,
1495.305071,-64501.73711,1790.934087,-25394.82361,1924.557669,115724.8416,875.111911,-5705245.455,1594.862844,-1451698.931,,,868.6803529,-3626085.825,1603.636477,-1216411.33,,,866.4620769,-1923840.706,1598.371913,-1924142.128,,
1523.482653,-58939.58073,1821.04066,-19370.55253,1953.076597,116642.0673,895.8356905,-6376192.832,1637.038356,-1171229.812,,,888.9846393,-3738420.792,1639.469177,-1203511.758,,,886.3116712,-2158601.675,1636.907113,-1936389.946,,
1558.006244,-55086.55311,1853.556405,-12501.39059,1995.147035,117265.6246,917.5886075,-6557707.878,1677.9645,-1200291.353,,,909.1764113,-1236518.222,1679.323694,-1197064.84,,,907.1036498,-2154330.233,1675.806011,-1942631.428,,
1585.500127,-52805.73735,1879.545922,-4752.25151,2024.00182,118236.5996,939.411677,-6154476.894,1720.61443,-1097777.624,,,930.0105297,-3761732.798,1717.360336,-1190227.289,,,925.5362912,-2005248.105,1707.114807,-1592654.984,,
1610.796481,-51055.07083,1905.610409,3212.643625,,,961.2136441,-6211942.74,1756.331301,-1697906.985,,,949.720057,-1213539.932,1759.44849,-1184644.818,,,946.392047,-1999106.935,1741.671777,-1593585.675,,
1638.39156,-49370.60921,1938.161693,11920.67876,,,980.745258,-7214906.612,1798.197065,-1118667.827,,,971.5903547,-3964901.763,1795.943547,-1171788.306,,,967.0143775,-1990118.455,1775.320926,-1941060.381,,
1665.356592,-47604.19844,1968.723944,21527.41785,,,1001.069009,-7987926.868,1840.421206,-1161303.086,,,993.812777,-4033672.505,1834.323853,-1169313.264,,,985.5423725,-1987580.187,1814.850729,-1586143.719,,
1695.633353,-46075.84921,1998.869082,32082.95202,,,1021.134775,-8167806.13,1880.64005,-1174020.667,,,1014.987204,-4295256.813,1871.951343,-1121506.845,,,1006.507716,-1726733.211,1847.444846,-1956627.048,,
